trust_in_government,transcription,speechbrain_classification,sentiment_BERT,sentiment_GPT
4," I think most of the time they want to do the right thing, but more often than not, there are external influences that push them to the wrong decision.",['neu'],neutral,neutral
3, The government lies to the people and only does what serves them and puts more money in their pockets.,['hap'],negative,negative
3," I just don't have a lot of general trust in our government. So, some of the time is generous for me, for them to make the right decisions, but oftentimes I feel like they don't do what's right.",['hap'],negative,negative
4, They don't be trusted half the time because they only do what their party wants them to do. So there's not a whole lot of bipartisanship going on?,['neu'],negative,negative
2, I would only trust them one out of the ten times.,['neu'],negative,negative
4, I picked half of the time because I feel like the federal government isn't always honest.,['neu'],negative,negative
2," Man, you can never trust our government. Joe Biden's working with Ukraine and Trump could be working with Russia. You can't really trust anyone. They're all out for themselves. They're just, they're selling the American people to the highest bidder.",['neu'],negative,negative
3, You can't always trust the federal government to do the right thing for everybody of all races in the country.,['neu'],negative,negative
4, I believe that half the time they're telling the truth and half the time they are out in their own best interest.,['neu'],neutral,neutral
3," I feel like we can never really know what goes on with the federal government, so it's definitely more so like there's things we don't know, therefore how can we trust them all of the time?",['neu'],negative,negative
3," Most of the time when I think the federal government is doing something for us, it usually comes back and then we see that it was for their own benefit. So I do not trust government so much. So that's why only some of the time they do something for us.",['sad'],negative,negative
2, I just really think that the government doesn't actually have the best interest of the people at heart.,['neu'],negative,negative
3," But the federal government in Washington, both parties, are self-serving, greedy, dirty capitalists, and they only do what's in their best interest to keep their job and their money, which is why I can only sometimes trust them to do what's right.",['neu'],negative,negative
3," The federal government is bloated, out of touch with the people, and dominated by special interests. I don't trust it to do the right thing very much at all.",['neu'],negative,negative
3," I'm not sure if my first recording worked, but I selected some of the time because I feel like a lot of politicians have hidden agendas and that a lot of their interests align with money and capitalism instead of with the people.",['neu'],negative,negative
4, I just feel like sometimes you just have to take everything with a grain of salt. Everything is not what it seems and the government is not always right.,['neu'],negative,neutral
3, I select it some of the time because I think politicians and just politics in general are like shady so it can be hard to trust like the government and politics,['neu'],negative,negative
4," As long as there are Republicans that still follow Trump and his insanity, are still in power in Washington, I cannot trust our government more than half the time when the Democrats and or the sane Republicans are making the decisions.",['neu'],negative,negative
4," It seems there's a lot of corruption in the government and from what's reported by the media. I don't trust what's reported in the media anymore. Both sides are biased. There is no middle ground. And who knows if that's not, you know, the information that they have isn't fed to them by both sides of the government. And yeah, I don't trust either. I don't trust the government. I don't trust the media.",['hap'],negative,negative
2, They could be listening right now.,['neu'],neutral,neutral
3," A lot of the things that I feel like the government should make decisions on, they tend not to. So I feel like they make the wrong decisions a lot of the time. But there are very few moments where they do make the right decision.",['sad'],negative,negative
3," I think there are representatives that do align with my values that I think actually care about the public, and so I don't think that they're corrupt all of the time.",['neu'],neutral,positive
3," I feel that most politicians are corrupt and just will do whatever they can to be elected, and I do not really trust them.",['neu'],negative,negative
4, This question is very broad so it was difficult to answer because it could pertain to many aspects of the federal government and also many individuals. There are certain individuals that I would trust more than others. That's why I gave the answer about half of the time because it's such a broad encompassing question.,['neu'],neutral,neutral
3, I selected some of the time for how often you can trust the federal government in Washington because I believe that politicians are out for their own self-interest rather than the good of the people. And that is very clear after the last few elections and what is currently happening within the federal government that it's all about political games rather than the good of the people.,['neu'],negative,negative
2, Because numerous times that they say to do something that's wrong.,['neu'],negative,negative
3, There have been some instances where I don't feel like they've been completely honest.,['neu'],negative,negative
4, About half the time because usually the government will usually be for themselves and not really be for the people.,['neu'],negative,negative
4, I believe that the government has good things and bad things for the people. It can be very split down the middle.,['neu'],neutral,neutral
3," Selected some of the time because most of the time the corrupt politicians are lying in their own pockets and not looking out for or even listening to us, we the people.",['neu'],negative,negative
4," I think that they do try to at least put out the image and do some actions that are doing the right thing, but I think there's a lot of personal interest that they're acting upon. So I'd say about half the time they're actually doing progress, and then the other half it's out of personal interest and maybe not the right thing.",['neu'],neutral,negative
3, I feel that the state of our economy right now shows that the federal government isn't capable of doing what the American citizens trust it to do.,['neu'],negative,negative
5," I still believe in our government. I believe that they want what's right for the people. Yes, there is some dishonesty, but I still believe in government. I still believe in democracy.",['neu'],positive,positive
3, I feel like the government hides a lot from us.,['neu'],negative,negative
4," I have to admit, it depends upon who's in charge. When the Republican party is in charge and control, I don't necessarily believe that the right thing will be done.",['neu'],negative,negative
3, I selected some of the time because often politicians do not keep the promises that they make.,['neu'],negative,negative
5," I feel like 9 times out of 10, the government has our best interests in mind, but sometimes I feel like they do what they personally think is best, and that might not be what is actually best for the American people.",['neu'],negative,neutral
3, I think our government has really gotten corrupt.,['neu'],negative,negative
4," I think it's difficult to make every person happy, so about half the time they're probably making the majority of the people happy.",['neu'],neutral,neutral
3," I think sometimes they can be trusted to do the right thing, but I definitely think there are times when they're not worried, they're not concerned with doing the right thing, they're just concerned about doing what's best for them, which is of course not always the right thing.",['hap'],neutral,negative
2," Generally, I don't trust the government because I know they're at least hiding from their civilians. They try to do things as long as it makes them money, even if it means lying to people.",['neu'],negative,negative
4," I said half the time because I don't think they always have the right answers. I don't think anybody actually has all the right answers, but I do think that they do try and help people most of the time or at least half the time.",['neu'],neutral,neutral
4, I think it kind of depends on the politician. So sometimes you can trust what they say and sometimes you can't. It just depends on what the issue is and who's involved in getting it done.,['neu'],neutral,neutral
4," I chose this answer because I feel like most of the times the government does make their decisions based on wealthier people, but sometimes they do think about the greater good and about the less fortunate.",['neu'],neutral,neutral
5, I think sometimes they make things up.,['sad'],negative,negative
2, The government is bought by fucking corporations and they pretty much have their pocket in everything. Nothing they do is right. They do what they do to keep capitalism afloat.,['neu'],negative,negative
3," Again, you can't trust no one from the federal government in Washington. Because they honestly, they don't care about the American people. As long as they get what they want.",['neu'],negative,negative
3, I only trust the US government some of the time because of the events that's happened throughout the years and the lies that have been told that's been uncovered.,['neu'],negative,negative
2," They are all politicians and have a secondary agenda to everything and I've never trusted them and the older that I get, the less I trust them.",['neu'],negative,negative
3," The government is run by people and people are human, period. Additionally, it is well known that money is what drives lots of things, not what is right.",['neu'],neutral,negative
3," If they could do what's right all the time, they would have enacted gun control, but the Republicans are controlled by the NRA and they don't want to lose the money that they get from them.",['neu'],negative,negative
2, I see the government is extremely corrupt and I just don't trust it. I just don't trust them at all. I've seen too many examples of blatant corruption.,['neu'],negative,negative
2," There has been so much history of our government lying to the people, telling half-truths. It is such a quest for power in Washington, D.C., whether you're the president or in Congress, that anything that comes out of there is for them to retain their power, not for the betterment of the people. So that's why I selected Never.",['sad'],negative,negative
5," Outside of a few bad apples, I think that for the most part, the American government has the people's best interest in mind.",['neu'],neutral,positive
3," For the most part, whatever they do is controlled by whatever money is coming in. But occasionally you can't not do what's right for the people. Occasionally they do what's right.",['neu'],neutral,neutral
3," I trust some of the politicians on the Democrat side, but I trust maybe one Republican. The rest are just GOP, for decoration, and to cause trouble.",['neu'],negative,negative
6, Because they are the most elected power in the country.,['neu'],positive,neutral
3," I don't like politics and I don't agree with Republicans or Democrats most of the time, period. I don't trust the federal government to do what is right most of the time because I believe most politicians are just in it for themselves and don't represent the people they are supposed to.",['ang'],negative,negative
4, Because only about half the time the correct person is in office.,['ang'],neutral,neutral
4, The reason i selected about half of the time is because it depends on who's in office and who's running the federal government.,['neu'],neutral,neutral
4," It depends on who is there in the government. It also depends on the people managing that office. So I don't really trust everyone to do the right thing. Some people are politically motivated. So in some cases people would do the right thing, but not always. That's why I still said half of the time.",['hap'],neutral,neutral
3, I said some of the time because often the federal government doesn't think of the people.,['neu'],negative,negative
3, It's all about getting reelected and keeping their party in power or getting it into power.,['neu'],neutral,negative
4," Because sometimes the party that's in power doesn't necessarily do what is good for the country, it does what is good for the party.",['ang'],neutral,negative
2," Because they don't. I don't even believe there's two different sides anymore, Democrat and Republican. They're all heading toward a one world order and one world government, and I don't trust them as far as I could throw them.",['neu'],negative,negative
5, Right now I can trust the government to do the right thing because we have a Democrat in office but if we were to have someone like Trump a fascist no way would I be able to trust the government again.,['neu'],negative,negative
5," I genuinely feel a strong sense of confidence in the federal government, or I would like to at least.",['neu'],positive,positive
3," I feel like you can only trust the federal government in Washington some of the time because we really don't know what goes on there. And recently it seems like we're learning more about the government and how they really are corrupt, but they don't let us know that.",['neu'],negative,negative
5," I say most of the time because at the bare minimum, they do have the country's best at heart.",['ang'],positive,positive
5," I think the government is trying to do its best for the people, but some people in different parties have the ability to stop it and make it worse for others.",['neu'],neutral,positive
2," The most part, the government is out for themselves. They don't care about the actual citizens or the people. They are only worried about making money for themselves.",['neu'],negative,negative
3," For the most part, the government cannot be trusted.",['neu'],negative,negative
5," Nobody's perfect. There's chances for people to do wrong things or things for their own benefit. So, that's what I said most of the time.",['neu'],neutral,neutral
3, And I'm just the government.,['neu'],neutral,neutral
3, The recent COVID vaccine and mask debacle showed that we definitely cannot always believe what we are being told by the federal government.,['neu'],negative,negative
3," I selected Some of the Time because the government is tricky, the government is greedy, the government is slick, they do help out to a certain extent, but at the end of the day, trust no one but God.",['neu'],neutral,negative
5," I feel like I can trust them right now because we have trustworthy people in office. However, we don't always have trustworthy people in office as evidenced by the buffoon that was president before this one.",['neu'],positive,positive
4," I trusted about half of the time because I always not so sure what is there in the public that we are told by them or seen by us and where they are actually, you know, covering, hiding from us.",['sad'],neutral,negative
3," Okay, well, for one thing, the right thing can be different for different groups of people. What's right for one demographic might not be right at all for another. And you know, the government can't always respond to every single demographic and make sure they have exactly what they need, and they aren't even really interested in doing that a lot of the time. So yeah, to say the government can do the right thing at all is difficult. And sometimes the government does right by the most vulnerable people in the society. It's not very often, but it occasionally happens. Most of the time, it's doing right by the biggest, loudest majorities of the population, which is doing wrong by everyone else. So from my perspective, that's a net wrong from people in that majority. It's a net right. So...",['neu'],neutral,negative
3, The reason I selected some of the time is because federal government does do some good things but there's also a lot of fishy things they do.,['neu'],neutral,neutral
3," It just seems like politicians work at cross purposes, so it's really hard to trust that they have the best interests of the country at heart.",['neu'],negative,negative
4, I answered that I don't trust Republicans at all or anyone that has anything to do with MAGA.,['ang'],negative,negative
2, No one person can do everything and this world needs too much. They focus too much on what the elites think and how to do the impossible. Our only hope is to keep a democratic president in office.,['ang'],neutral,neutral
4," Well, you can potentially trust about half of the politicians out there, so half the time. And they never agree on either side of the issues, so you're lucky if the good things that they want to pass actually can get through.",['neu'],negative,neutral
3," More often than not, they're beholden to corporate interests and lobbyists more often than the citizens that elected them.",['neu'],negative,negative
3, There's always politics involved. That's why the federal government in Washington has to balance whether they should do the right thing to benefit people or them.,['ang'],neutral,neutral
4," I think the government tries to do what is right, but I think that sometimes they allow politics to get involved and they don't always make the best decisions.",['neu'],neutral,neutral
3, I just feel like sometimes they're kind of shady in a sense like like half the time you don't know what's going on,['neu'],negative,negative
4, They do good things and they do bad things so you just gotta take the good when you can get it.,['neu'],neutral,neutral
3, Politicians seem to be out to do what they want to do and what seems will give them the most power. They don't actually care what their constituents want.,['neu'],negative,negative
3," I feel like you have to trust them some of the time to hope that they get the basic things done for our nation, but at the same time, people are people and I can kind of see their own personal interests getting in the way of them doing what's right for everybody, because I feel like humans are innately flawed. So I think that they're out there to do the right thing, but I think they fall short a lot, so some of the time they get it done.",['neu'],neutral,neutral
5, Most of the time the federal government seems fair and just and usually ends up doing the morally correct thing at the end of the day. In my eyes at least.,['neu'],positive,positive
3, Because it seems every time you turn around there's some corruption from someone. They're always fighting between each other instead of getting something done for the American people.,['neu'],negative,negative
3," Well, there's a lot of corruption in the government. If we had term limits for pretty much every office in the government, I think a lot of things would change.",['neu'],negative,negative
4," I said half of the time, which is being generous, I would say about 40% of the time due to the Republicans holding everything hostage.",['neu'],negative,negative
4, Because I don't feel the government is fully trustworthy nor are politicians.,['neu'],negative,negative
3," Because I truly don't believe that the government has most of our best interests in heart. I think they may try to do some things right to make it look like they do, but in general they don't.",['neu'],negative,negative
3, The government has done a lot of sketchy things in the past that weren't in the best interest of the people. They're looking to line their pockets with more money and basically experiment.,['neu'],negative,negative
4," For me, it just depends on who's in office and whether or not they seem trustworthy to me, whether or not I trust them. It's like half and half.",['neu'],neutral,neutral
4," So often the federal government's solutions to problems are one-size-fits-all, and it's inappropriate for very many situations.",['neu'],negative,negative
4," The federal government continues to reach further and further into states' rights and kind of takes on the mantle of a lot of things that are not constitutionally required of it. So I don't really trust them to do anything but expand exponentially and about half the time they get some stuff right, but most of the time it's pretty self-serving.",['neu'],neutral,negative
3, I was always taught to not really trust the government.,['neu'],negative,negative
3," The federal government will do what is right when it is in their own interest. When it's not in their own interest, they just do whatever they want.",['neu'],neutral,negative
2, The federal government in Washington has proven time and time again to be complete failures.,['neu'],negative,negative
3, I feel like the money doesn't get used for what it's supposed to and everything gets swept under the rug.,['neu'],negative,negative
3, I think the federal government lies in a lot of the things that they talk about.,['neu'],negative,negative
2, Because politicians are always crooked and out to steal every penny you have.,['neu'],negative,negative
4, So I don't think the government is inherently bad or good. I would say they do the right thing about half the time. I feel like certain politicians have very good motivations and really try to do what's right for the people. But there are just so many special interests and lobbies that really carry a lot of weight that I think it's hard for them to always triumph over that. So I would say they do the right thing about half the time.,['neu'],neutral,neutral
3," Because, unfortunately, they are motivated by money, not by what the people need. And it's not only just an opinion, it's been a proven fact over and over again. They do things to benefit themselves, and they're greedy, and it's just wrong.",['ang'],negative,negative
4," A lot of times we can trust the federal government in Washington, but they need to be constantly kept in check. Because while they will usually and sometimes do the right thing, they will also sometimes stray from the right thing. And that's why we need to keep them accountable.",['neu'],neutral,neutral
2, Because I believe the government is corrupt and only serves the interests of the rich.,['neu'],negative,negative
2, I selected never because all politicians are corrupt and crooked. No one is out for the good of the people. That's not the way it works. It's about status.,['ang'],negative,negative
4," It seems like a lot of times, especially for basic things, they seem to do what's right and it's really not a big issue about it. But then when you get to controversial things, they do more along the lines of what their donors want them to do instead of what's right.",['neu'],neutral,neutral
4," I believe that there are people that actually care about the United States and the government, but I do think there's just as many corrupt politicians and you can never really know if they're doing right or not.",['neu'],negative,neutral
5, I say most of the time because I mean I guess right now Democrats are in charge so I trust them to handle the affairs of our country generally. Majority of the time Republicans I don't trust them at all so I mean I think most of the time Democrats would do what's right.,['neu'],neutral,neutral
2," Sometimes they do good, sometimes they do bad, but they never do good for good, and they never do bad for good.",['neu'],neutral,neutral
3, I select it some of the time because there's so much going on in this world that could be better and the federal government in Washington could be trying to fight to make things better and do things right.,['hap'],neutral,positive
3, A lot of the times policies passed in Washington don't really reflect the will of the people. It's really hard to trust them because of that.,['neu'],negative,negative
4," There's a pretty close evenness in terms of politicians in this country on a federal level, and there's only two parties, and I don't necessarily agree with the one and generally don't have the good policy in my opinion.",['neu'],negative,negative
3," I feel that as a whole, most of the federal government does not support myself as an individual, but there are certain individuals elected into government that do actually care about me and other citizens, so that is why I chose some of the time.",['neu'],neutral,neutral
3," I selected some other time because we cannot believe everything that the government tells us. We can believe some of the information that they give us, but a lot of the information that they give us is information that is second hand and information that will not cause a public outcry.",['neu'],neutral,negative
3, I chose some of the time because I feel like politicians in the government often do things for their own special interests rather than the good of everyone.,['ang'],negative,negative
3," I think that you can only trust the government some of the time, because a lot of the times they don't do what's right for the people, and they do what they think will get them elected.",['neu'],negative,negative
3," I feel like most of the people in the federal government in Washington are in it just for themselves. There are very, very, very few that care about other people and how the government is helping people in general.",['sad'],negative,negative
3," Some of the time you can trust the federal government to do what's right, but a lot of times you can't. It kind of depends on who the people are doing the deciding and who has the upper hand in the group.",['ang'],neutral,neutral
3, I mean politicians tend to be like really corrupt and have all the lobbyists in mind rather than the people's interests in mind. But every once in a while they'll probably do something in the people's interest. But most of the time they're just corrupt and all they care about is their own pockets.,['neu'],negative,negative
3," I think most of the time they try to do what's right, but a lot of times they fail to do that or they have other things more important on their agenda.",['neu'],neutral,neutral
3, About half the time.,['ang'],neutral,neutral
3," I selected some of the time because how are we to know anything that's going on in Washington? Regardless of the party, you never know what is happening behind closed doors with the government.",['neu'],neutral,negative
2," Joe Biden is a pedophile. Hillary Clinton is a satanic, child eating pedophile. They should not have any place in our government.",['neu'],negative,negative
4," You can't really trust them to do what is right often because what is right often really isn't serving their best interest. So really, you have to not really take what they do seriously, you have to take it with a grain of salt.",['hap'],negative,negative
3," I think power corrupts and any government is run by a certain group of people who are looking out for themselves. Sometimes you get people who are looking out a little for you, but mostly, mm-mm.",['neu'],neutral,negative
3," I feel like Washington, decisions made by the federal government in Washington can be made for the good of the people, but at the same time, they can be made without insight to what people really want.",['neu'],neutral,neutral
3," I always feel like that it's whoever pays them the most money to get the things done. I feel like years ago that you could trust the officials in Washington, but now I feel like it's more about who is paying them to be there, what businesses have their hands in their pocket.",['neu'],neutral,negative
3, I just feel that most of the time you can't trust the federal government in Washington to do what is right Because they are all about money and greed,['neu'],negative,negative
4," I say they do the right thing about half the time because the other half of the time it's too political, there's too much partisanship going on and they're not passing programs for the good of the people, they're doing it for their own political agenda.",['neu'],negative,negative
6," I believe that the government tries its best to make the best decisions even if it does not always seem so on the outside. The government wants the best for its people, for the country, for the economy. So I trust the government, the federal government.",['hap'],positive,positive
3, you,['ang'],neutral,neutral
2," I believe that I cannot trust in the federal government to do things correct because they are corrupt at every level. Everyone takes bribes, there's no justice that goes forth, it's corrupt at the highest level.",['neu'],negative,negative
5, I'm pretty trustworthy of them. They do what they say they're gonna do.,['neu'],positive,positive
4," I said about half the time because especially with the vaccines and COVID, now when we look back in hindsight, it seems that a lot of the information they were giving us, the government was giving us, was wrong. So that's why I said about half the time.",['neu'],negative,neutral
3," Occasionally the folks in Washington get things right, not often, but sometimes. That's the only reason I didn't put never.",['neu'],neutral,neutral
3," I'd say maybe you could trust them about 15% of the time, but the other 85% it's definitely for their own interests or their stock portfolios or their donors.",['neu'],neutral,negative
5," As a former government employee, I believe that the federal government has the best interests of the people of the United States at heart, and that in most instances, when thinking through a problem, it will make the best decision.",['neu'],positive,positive
4, Because the government is known for cover-ups and lying and conspiracy theories. We play it in the minds of Americans. We take our minds off the facts of what really happens.,['neu'],negative,negative
3," Because I think most of them are in it for the money, and I think a majority of them are white racists.",['neu'],negative,negative
3," Because I don't entirely trust the motives of the federal government and I think that they're largely misguided. But you gotta expect that they'll do their own thing some of the time, even by accident.",['neu'],negative,neutral
4, I trust the federal government not all the time due to the fact that sometimes the laws that they pass tends to go against the citizens.,['neu'],neutral,neutral
5," I'm sure that they do things that I do not like, but for the most part, I trust them.",['neu'],neutral,positive
5," Because sometimes the government makes policies that does not have the interest of the people, but for their own selfish interest.",['hap'],negative,negative
5," I selected most of the time because obviously they're our elected officials and that is their role, but as the general public we don't know what ulterior motives may be influencing their decisions.",['neu'],neutral,neutral
3," The government is usually working for their own political interests, however, there are times when they do stumble upon something that is for the good of the American people.",['neu'],neutral,neutral
3," While a lot of the time the federal government makes decisions that don't benefit the common good of the country, like specifically the Supreme Court overturning political rulings of the past,",['neu'],negative,negative
2, Politicians are all bought and paid for. They have their own interests and the interests of their donors ahead of their actual constituents. They flip and flop based on who gives them money and not who votes for them.,['neu'],negative,negative
5," I think the people who go to Washington and serve us are generally trying to do the right thing. I think they have convictions and they probably have some conflict of interest, but most of all they want to do what's right.",['neu'],positive,positive
3," I don't trust that they always make the best decisions and I'm not sure that I can trust them all the time. I think if people can find a way to get around something that benefits them, they will do it.",['neu'],neutral,negative
4," I had better faith in the government prior to Herr Trump coming into power. I think he is a degradation to the entire world, honestly.",['ang'],negative,negative
2," Because it seems our government is just completely broken and they make it more about the bashing of one another, the left and the right, more than taking care of the American people.",['neu'],negative,negative
2," There's too many special interests and lobbyists in Washington to do what's right for the American people most of the time. Sometimes good legislation does get passed, and it's usually just very lucky, in my opinion.",['neu'],neutral,negative
2," I don't think you can ever trust the federal government in Washington because they really don't have anyone's best interest in mind besides themselves because politicians are just, just care about their careers and getting reelected.",['neu'],negative,negative
5," I trust the government, but most of the time they seem to be looking out for themselves and not the people of this country.",['ang'],negative,neutral
5," I believe that members of both parties, besides the extreme ends, have the common good in mind and I can trust them to act in a way that benefits me and our society.",['neu'],positive,positive
4," Only about half of them are making the right decisions, period, and many others are in control.",['neu'],neutral,negative
4," There are a lot of people in a lot of different roles in the government, so it's impossible to trust all of them. But there are a lot of them that are good, so I'd say about 50-50.",['neu'],positive,neutral
4, Because I feel like the government is only half truthful with us half the time when they have to be.,['neu'],negative,negative
5, I think that you can trust them just because they do do what's right and they have done what's right in recent years.,['neu'],positive,positive
2, I feel like the choices and decisions they make are based on what benefits them in the end and not us. They don't care about the people that they're making the decisions for. They just choose what they can get rich off of.,['neu'],negative,negative
4," Because I believe you can trust some of the people, but there are many that I do not trust.",['ang'],negative,neutral
3," I feel like in many instances the government can do the right thing by allotting money and resources to certain issues, but for the most part I think it's being abused at a high level because of corruption and wealth inequality.",['neu'],negative,negative
5, I do trust them most of the time and I have to believe they will do what's right.,['neu'],positive,positive
5," Yes, I told the federal government what you have been talking about. So, I told them, called the audience, they are best. Yes, I told them.",['hap'],positive,neutral
4, I think that many times the politicians in Washington are acting in their own self-interest or in the self-interest of a very specific group as opposed to the needs of the overall country.,['neu'],negative,negative
4, Because I'm going to say even over half the time that the federal government has its own agenda and they do what's right for their parties and instead of what is best for the actual American people as a whole.,['neu'],neutral,negative
5," I think that most of the time the federal government tries to do what's right. Obviously sometimes it gets mired in politics and bureaucracy, but for the most part I think it tries to do what's right for the people. Problem is you can't make everybody happy, so you gotta do what you think is best for everybody.",['sad'],neutral,positive
4," Well, since I'm a black American, I believe that sometimes the laws that are being passed does not go in favor of the minority group.",['neu'],negative,negative
2," People in government aren't looking out for the American people, they're looking out for themselves and trying to get rich.",['neu'],negative,negative
3, Past experiences predicate my belief.,['neu'],neutral,neutral
5, I chose most of the time because I don't feel that you can trust the government all of the time. There's always things that they're hiding from the general public.,['neu'],negative,negative
2, hurt bro and i was because i never can,['neu'],negative,neutral
3, You just can't always trust them. They really just have their own personal interests at heart sometimes.,['neu'],neutral,negative
4, There are some individuals in politics that I trust and others that I don't. It's about half and half.,['neu'],neutral,neutral
3," I just don't trust politicians in general. I think they probably all start their careers with the best of intentions, but I feel like they get bought off and influenced and I just don't trust them any longer.",['neu'],negative,negative
5, Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye. Bye.,['neu'],negative,neutral
3," I believe sometimes they have their own agenda, such as promoting certain companies such as pharmaceutical banks, they might bail out certain types of companies and they might not care about others.",['neu'],neutral,negative
3," I think maybe when it comes to the issue of national defense, when it gets very serious, say 9-11, in the response, possibly they could be trusted. Otherwise they just have very little trust. Too much infighting, too much partisanship, too much selfishness.",['neu'],negative,negative
3, I think that our federal government is 100% purchased and owned by larger companies.,['neu'],neutral,negative
4," I think that Washington does what's politically expedient for Washington, and if the people benefit, that's a bonus.",['neu'],positive,negative
4," The politicians are all about their own party now, so there's a 50-50 shot that they're going to be doing anything that you want them to do.",['neu'],neutral,negative
2, I don't think anyone in Washington has any empathy for the common person.,['neu'],negative,negative
4," I believe that most politicians, unfortunately, are too partisan. They're only interested in their side of things. They can't work together. And I just don't think they make decisions about what is best for the most people in the country.",['neu'],negative,negative
2, Permanent Washington government has proven over and over and over again that they cannot be trusted. The biggest example is the war in Ukraine and all the money that we're sending to them versus helping our own U.S. citizens in Hawaii. They can never be trusted to do the right thing.,['neu'],negative,negative
3," Because I think the government is corrupt and I don't think that politicians these days are necessarily acting in the best interest of people like they were 30 years ago, unfortunately.",['neu'],negative,negative
3," I feel that the government always has ulterior motives, they're influenced by other people with money, and they drive their own agendas and don't do what's best for us.",['sad'],negative,negative
4, Ibra government of Washington can't do what it wants always because there are too many people who want to do what they want.,['hap'],negative,neutral
2," You're kidding, right? Look who's in charge and what he's doing and the decisions they've made about the border.",['neu'],neutral,negative
3, They frequently lie and cheat.,['neu'],negative,negative
2," Federal government has their own reasons for doing things and it's usually for their financial welfare, not what's best for the regular people.",['neu'],negative,negative
3, They don't seem to be very interested in doing what's right. They just have their own agendas and don't have the good intentions towards their constituents.,['neu'],negative,negative
4," Man, because the government is all sick and rubbed, that's why I trusted about half the time because what I've heard about the air raid, how twisty they are sometimes with the politicians and stuff, especially about the crime back where I used to live, how bad it is now and how they're not doing nothing to solve it or anything like that.",['neu'],negative,negative
5, I've worked for the federal government in the past and the vast majority of people working there have very good intentions and want to do what is best for citizens.,['neu'],positive,positive
2, Because I believe that most or majority of the politicians in Washington are crooks. Look at the President Biden that we have now. He has been a crook since he was elected in the seventies.,['neu'],negative,negative
3, I don't really trust the federal government in Washington to do the right thing by the population. They are pretty much bottom played for by the lobbyists and do their bidding rather than what's right for the majority of the people.,['neu'],negative,negative
4," I trust the federal government in Washington to do what is right about half of the time because I have heard some negative, disturbing things about the federal government in Washington.",['neu'],negative,neutral
3, I feel that most politicians are out of touch with the common American and they're pretty much acting in solely self-serving interests.,['neu'],negative,negative
3, Because I don't trust the government. There's been too many times that people have been caught lying and you just can't trust them. I can't always trust the federal government to do what is right. They don't do right by their people.,['neu'],negative,negative
3, Because I think oftentimes it's about special interest groups and who gives them the money to get them into office. It's not about the everyday average American. They don't always do the right thing.,['ang'],negative,negative
3, I feel that the government lies to us a lot just to make sure that they are getting the most financial and political power amongst all the people. I don't fully trust them in regards to anything.,['neu'],negative,negative
3, So I think that we have to be careful about thinking that the government is like some outside people. It really is just us and the question is can we trust each other to do what's right?,['neu'],neutral,neutral
5, I selected most of the time because I believe that they deliver more often than not.,['neu'],positive,positive
3," I believe the government has an obligation to do right, but that they don't always do right by the people, so that's why I selected some of the time.",['neu'],neutral,neutral
3, It's difficult to trust the government because they are constantly bickering back and forth. There's unnecessary spending. There's so much waste. And it's so political that sometimes I think that the real meaning of what they're doing gets lost.,['neu'],negative,negative
3," I selected some of the time because I know politicians are so untrustworthy. They say they're gonna do one thing and you vote for them. Then they're not doing, they're not doing that at all or they're just doing something else.",['neu'],negative,negative
5," I know the U.S. government is a large organization with a lot of moving pieces, but I think the majority of the people that are working in Washington actually care about the people of the country, and they're trying to do the right thing for all of us.",['neu'],positive,positive
2, I believe that all of the old heads currently holding offices in federal government are not in touch with modern society and have no clue how to do what needs to be done in a modern world.,['neu'],negative,negative
4," I think I selected about half the time because you never really know what's true and what's just politics and nonsense. So I would hope that my government is doing what's correct, but I can't always trust it.",['neu'],negative,neutral
5," Because for the most part, politicians do get into politics for the right reasons, and they have a love and patriotism of the country. There are a few bad apples, as in everything.",['neu'],positive,positive
2, You can't trust the federal government in Washington to do what's right anymore because the only thing politicians are looking at is themselves. And you can't tell how corrupt they all are. And that's why it's elected never.,['neu'],negative,negative
5," Oh, my reasons why I isolated most of the times is because you can't trust government. You can't even trust an individual.",['hap'],negative,negative
2, They have stopped caring about the American people. It's only about how rich they can get.,['ang'],negative,negative
4, Because only half the time is the government in Washington being run by people who have the best interests of the country at heart.,['neu'],neutral,neutral
5, Most of the decisions they made favoured me.,['neu'],positive,positive
3, Because politics seems to be all about money and some of the time that's how I feel they make their decisions not on what's right for everybody but the money.,['neu'],negative,negative
3," For the most part, they can be trusted, but there are times where they are wrong. And it's been proven in history, so I would definitely say some of the time.",['neu'],neutral,neutral
2, You can never trust the federal government because they're only out for themselves and they couldn't care less about the American people usually.,['neu'],negative,negative
3, The federal government in Washington has lost their way as long as Joe Biden is our president and the bare minimum of keeping this country going is why they can only be trusted some of the time.,['neu'],negative,negative
5, I like to believe that most politicians at least start out having good intentions.,['neu'],positive,positive
3, I guess I'm answering this twice. It's because the government hasn't kept up the promises it would keep and I have trust issues with it.,['neu'],negative,negative
3," I feel like a lot of them are motivated by money they are paid from by big corporations who don't have the best, um, for the people in mind.",['neu'],negative,negative
3, The political agenda seemed to be self-centered.,['neu'],neutral,negative
5, Some things just don't happen the way that is expected.,['neu'],negative,neutral
